Snapshot_Month,App_Name,Total_Volume_Mn,Total_Value_Cr,Network_Volume,Market_Share_Pct,Market_Share_Squared
2024-04-01,Other Apps,1.18,112.6,13304.51,0.008869172934591352,7.866222854368777e-05
2024-04-01,Omnicard,1.06,37.27,13304.51,0.00796722314463291,6.347664463637432e-05
2024-04-01,IndusInd Bank Apps,1.06,191.9,13304.51,0.00796722314463291,6.347664463637432e-05
2024-04-01,Bank of Baroda Apps,0.99,467.77,13304.51,0.007441085767157151,5.536975739418873e-05
2024-04-01,Central Bank of India Apps,0.89,204.45,13304.51,0.006689460942191784,4.4748887697109395e-05
2024-04-01,AU Small Finance Bank Apps,0.8,257.99,13304.51,0.006012998599722951,3.6156152160270173e-05
2024-04-01,Go Kiwi,0.58,92.87,13304.51,0.004359423984799139,1.9004577479242007e-05
2024-04-01,DBS Digibank Apps,0.47,182.89,13304.51,0.0035326366773372336,1.247952189406825e-05
2024-04-01,South Indian Bank Apps,0.43,129.71,13304.51,0.0032319867473510865,1.0445738335053055e-05
2024-04-01,Shriram One,0.4,37.49,13304.51,0.0030064992998614756,9.039038040067543e-06
2024-04-01,Fino Payments bank Apps,0.35,49.47,13304.51,0.002630686887378791,6.920513499426711e-06
2024-04-01,HSBC Bank Apps,0.32,126.59,13304.51,0.0024051994398891804,5.7849843456432275e-06
2024-04-01,TataNeu,0.32,34.06,13304.51,0.0024051994398891804,5.7849843456432275e-06
2024-04-01,Bank of India Apps,0.21,87.25,13304.51,0.0015784121324272744,2.4913848597936155e-06
2024-04-01,Standard Chartered Bank Apps,0.16,105.51,13304.51,0.0012025997199445902,1.4462460864108069e-06
2024-04-01,UCO Bank Apps,0.16,54.3,13304.51,0.0012025997199445902,1.4462460864108069e-06
2024-04-01,Digikhata,0.15,51.08,13304.51,0.0011274372374480532,1.271114724384498e-06
2024-04-01,Karnataka Bank Apps,0.15,27.18,13304.51,0.0011274372374480532,1.271114724384498e-06
2024-04-01,Jupiter Edge,0.14,22.88,13304.51,0.0010522747549515166,1.1072821599082744e-06
2024-04-01,Dhani,0.13,7.44,13304.51,0.0009771122724549794,9.54748392982134e-07
2024-04-01,Indian Overseas Bank Apps,0.11,30.1,13304.51,0.0008267873074619058,6.83577251780108e-07
2024-04-01,Ultracash,0.09,6.16,13304.51,0.000676462342468832,4.576013007784194e-07
2024-04-01,Tamilnad Mercantile Bank Apps,0.09,24.69,13304.51,0.000676462342468832,4.576013007784194e-07
2024-04-01,City Union Bank Apps,0.08,26.6,13304.51,0.0006012998599722951,3.615615216027017e-07
2024-04-01,NSDL Payments Bank Apps,0.08,11.88,13304.51,0.0006012998599722951,3.615615216027017e-07
2024-04-01,Citi Bank Apps,0.06,69.19,13304.51,0.0004509748949792213,2.033783559015197e-07
2024-04-01,IDBI Bank Apps,0.06,20.15,13304.51,0.0004509748949792213,2.033783559015197e-07
2024-04-01,Bank of Maharashtra Apps,0.06,14.06,13304.51,0.0004509748949792213,2.033783559015197e-07
